OrderID,OrderDate,Region,Category,Subcategory,ProductID,Quantity,UnitPrice,TotalPrice,Discount,DiscountedPrice,Profit,PaymentMethod,ShippingMethod,CustomerSegment
ORD00000,2023-05-21,Central,Electronics,Smartphone,PROD2424,4,230.98,923.92,0.22,720.66,133.57,Cash,Standard,Retail
ORD00001,2023-04-30,Central,Electronics,Smartphone,PROD7873,9,606.0,5454.0,0.17,4526.82,874.6,PayPal,Express,Wholesale
ORD00002,2023-03-23,East,Home & Kitchen,Blender,PROD2674,7,346.85,2427.95,0.05,2306.55,556.9,Credit Card,Express,Retail
ORD00003,2023-11-06,West,Home & Kitchen,Cookware,PROD2291,5,809.06,4045.3,0.22,3155.33,496.16,Bank Transfer,Overnight,Wholesale
ORD00004,2023-04-09,North,Home & Kitchen,Vacuum Cleaner,PROD4814,2,55.37,110.74,0.07,102.99,11.11,Credit Card,Express,Corporate
ORD00005,2023-07-06,North,Toys,Puzzle,PROD3803,3,376.48,1129.44,0.06,1061.67,109.77,PayPal,Standard,Corporate
ORD00006,2023-11-24,North,Toys,Doll,PROD4752,9,227.42,2046.78,0.1,1842.1,375.17,Credit Card,Express,Corporate
ORD00007,2023-04-19,West,Home & Kitchen,Blender,PROD8517,10,877.6,8776.0,0.09,7986.16,1446.2,PayPal,Express,Retail
ORD00008,2023-10-15,West,Apparel,Jacket,PROD6930,9,270.11,2430.99,0.18,1993.41,457.62,PayPal,Standard,Wholesale
ORD00009,2023-01-25,Central,Toys,Board Game,PROD2040,2,161.31,322.62,0.05,306.49,57.04,Cash,Express,Wholesale
ORD00010,2023-05-09,Central,Toys,Puzzle,PROD5371,9,862.17,7759.53,0.0,7759.53,1506.47,Bank Transfer,Standard,Corporate
ORD00011,2023-08-21,Central,Toys,Board Game,PROD3927,1,954.28,954.28,0.26,706.17,72.51,Credit Card,Overnight,Corporate
ORD00012,2023-04-12,Central,Books,Children,PROD1009,3,380.17,1140.51,0.05,1083.48,260.79,Bank Transfer,Express,Retail
ORD00013,2023-06-07,North,Electronics,Laptop,PROD8962,4,67.35,269.4,0.26,199.36,47.72,Credit Card,Overnight,Retail
ORD00014,2023-09-01,South,Apparel,Jacket,PROD9835,9,173.48,1561.32,0.16,1311.51,224.69,PayPal,Overnight,Corporate
ORD00015,2023-11-29,South,Toys,Puzzle,PROD2049,6,443.72,2662.32,0.16,2236.35,165.94,Bank Transfer,Standard,Wholesale
ORD00016,2023-10-29,North,Books,Fiction,PROD1514,4,17.12,68.48,0.21,54.1,3.34,Bank Transfer,Standard,Wholesale
ORD00017,2023-12-09,Central,Apparel,Jeans,PROD8744,8,222.09,1776.72,0.04,1705.65,404.41,PayPal,Express,Corporate
ORD00018,2023-02-19,North,Apparel,T-shirt,PROD2612,7,360.75,2525.25,0.12,2222.22,495.04,Credit Card,Express,Wholesale
ORD00019,2023-05-08,East,Home & Kitchen,Blender,PROD8579,4,198.31,793.24,0.13,690.12,92.74,PayPal,Standard,Corporate
ORD00020,2023-01-26,South,Books,Fiction,PROD3724,9,837.67,7539.03,0.29,5352.71,1259.35,Cash,Express,Corporate
ORD00021,2023-01-31,West,Apparel,Jeans,PROD5673,3,385.18,1155.54,0.3,808.88,83.35,Cash,Overnight,Wholesale
ORD00022,2023-09-07,Central,Books,Children,PROD1998,3,198.0,594.0,0.07,552.42,34.08,Bank Transfer,Standard,Retail
ORD00023,2023-09-15,South,Books,Non-Fiction,PROD2122,9,165.86,1492.74,0.29,1059.85,69.97,Credit Card,Overnight,Retail
ORD00024,2023-10-19,Central,Toys,Board Game,PROD9565,4,583.13,2332.52,0.01,2309.19,153.32,Bank Transfer,Express,Retail
ORD00025,2023-05-16,North,Home & Kitchen,Blender,PROD1152,7,139.57,976.99,0.19,791.36,111.93,Cash,Overnight,Wholesale
ORD00026,2023-10-03,North,Electronics,Smartphone,PROD5002,4,510.83,2043.32,0.04,1961.59,235.0,Bank Transfer,Express,Retail
ORD00027,2023-12-27,North,Toys,Puzzle,PROD5905,5,615.56,3077.8,0.3,2154.46,389.52,Credit Card,Standard,Corporate
ORD00028,2023-10-11,South,Electronics,Smartphone,PROD5325,3,279.62,838.86,0.18,687.87,133.12,Cash,Express,Retail
ORD00029,2023-08-05,East,Electronics,Tablet,PROD3647,5,53.65,268.25,0.1,241.43,18.39,Cash,Overnight,Wholesale
ORD00030,2023-01-05,Central,Toys,Puzzle,PROD1590,2,84.49,168.98,0.26,125.05,28.86,Bank Transfer,Overnight,Wholesale
ORD00031,2023-03-07,North,Apparel,Jeans,PROD6862,1,315.18,315.18,0.27,230.08,48.14,PayPal,Overnight,Retail
ORD00032,2023-10-14,South,Electronics,Laptop,PROD3662,7,974.1,6818.7,0.22,5318.59,1250.68,PayPal,Express,Retail
ORD00033,2023-06-20,East,Apparel,Jacket,PROD3608,7,804.21,5629.47,0.26,4165.81,883.78,Credit Card,Express,Retail
ORD00034,2023-04-13,South,Toys,Board Game,PROD1387,8,356.16,2849.28,0.25,2136.96,479.24,PayPal,Express,Corporate
ORD00035,2023-05-23,Central,Home & Kitchen,Blender,PROD6425,6,645.07,3870.42,0.12,3405.97,838.65,Credit Card,Standard,Corporate
ORD00036,2023-05-16,East,Apparel,Jacket,PROD8149,1,117.32,117.32,0.13,102.07,19.98,Credit Card,Express,Wholesale
ORD00037,2023-01-23,South,Apparel,Jeans,PROD6967,7,11.67,81.69,0.28,58.82,9.28,Cash,Standard,Wholesale
ORD00038,2023-06-10,West,Home & Kitchen,Vacuum Cleaner,PROD6344,2,722.56,1445.12,0.09,1315.06,147.1,Cash,Overnight,Corporate
ORD00039,2023-04-09,South,Books,Fiction,PROD5930,7,668.28,4677.96,0.11,4163.38,831.12,Cash,Overnight,Retail
ORD00040,2023-04-18,West,Home & Kitchen,Cookware,PROD8244,7,787.9,5515.3,0.18,4522.55,517.61,PayPal,Overnight,Corporate
ORD00041,2023-02-13,South,Apparel,Jacket,PROD6085,5,520.3,2601.5,0.19,2107.22,246.62,PayPal,Standard,Retail
ORD00042,2023-05-06,Central,Electronics,Smartphone,PROD4185,8,615.16,4921.28,0.23,3789.39,534.62,Cash,Express,Corporate
ORD00043,2023-12-02,West,Apparel,T-shirt,PROD4585,1,893.73,893.73,0.26,661.36,150.19,PayPal,Overnight,Wholesale
ORD00044,2023-10-13,West,Toys,Board Game,PROD9702,4,918.3,3673.2,0.04,3526.27,270.35,Bank Transfer,Express,Wholesale
ORD00045,2023-10-08,East,Books,Non-Fiction,PROD5050,8,898.24,7185.92,0.22,5605.02,812.36,Bank Transfer,Overnight,Corporate
ORD00046,2023-08-14,Central,Apparel,Jeans,PROD2320,2,716.41,1432.82,0.07,1332.52,156.13,PayPal,Standard,Retail
ORD00047,2023-03-20,West,Toys,Puzzle,PROD2020,4,73.59,294.36,0.12,259.04,41.06,PayPal,Express,Corporate
ORD00048,2023-01-11,West,Books,Children,PROD7865,10,386.58,3865.8,0.0,3865.8,465.26,PayPal,Express,Retail
ORD00049,2023-09-06,South,Home & Kitchen,Cookware,PROD8657,1,394.97,394.97,0.2,315.98,66.24,PayPal,Overnight,Wholesale
ORD00050,2023-10-31,West,Electronics,Laptop,PROD3977,10,666.37,6663.7,0.03,6463.79,877.28,Credit Card,Express,Corporate
ORD00051,2023-08-21,West,Home & Kitchen,Blender,PROD5133,6,344.13,2064.78,0.26,1527.94,161.43,Credit Card,Express,Retail
ORD00052,2023-06-29,North,Books,Fiction,PROD5051,4,653.64,2614.56,0.23,2013.21,363.08,PayPal,Standard,Wholesale
ORD00053,2023-03-06,East,Apparel,T-shirt,PROD7043,8,672.76,5382.08,0.17,4467.13,418.09,PayPal,Overnight,Wholesale
ORD00054,2023-06-09,West,Electronics,Smartphone,PROD7498,2,582.9,1165.8,0.28,839.38,138.63,PayPal,Standard,Wholesale
ORD00055,2023-12-23,Central,Apparel,T-shirt,PROD1672,5,851.79,4258.95,0.18,3492.34,259.17,Bank Transfer,Overnight,Corporate
ORD00056,2023-09-17,West,Home & Kitchen,Blender,PROD6934,6,22.53,135.18,0.13,117.61,17.41,Cash,Overnight,Retail
ORD00057,2023-09-25,West,Toys,Board Game,PROD8136,5,619.75,3098.75,0.28,2231.1,457.22,Bank Transfer,Express,Retail
ORD00058,2023-08-19,East,Electronics,Laptop,PROD1470,4,752.97,3011.88,0.17,2499.86,459.07,Cash,Express,Retail
ORD00059,2023-07-01,East,Toys,Board Game,PROD1166,5,346.94,1734.7,0.26,1283.68,244.2,PayPal,Standard,Retail
ORD00060,2023-10-12,North,Toys,Doll,PROD2524,4,693.7,2774.8,0.19,2247.59,333.01,Bank Transfer,Standard,Corporate
ORD00061,2023-12-06,Central,Apparel,Jeans,PROD6419,10,375.33,3753.3,0.17,3115.24,369.94,Bank Transfer,Overnight,Corporate
ORD00062,2023-05-09,Central,Home & Kitchen,Cookware,PROD4033,4,129.45,517.8,0.06,486.73,35.97,PayPal,Standard,Wholesale
ORD00063,2023-10-29,East,Toys,Doll,PROD4727,9,600.82,5407.38,0.29,3839.24,831.29,Bank Transfer,Standard,Corporate
ORD00064,2023-10-01,South,Electronics,Tablet,PROD9042,3,281.57,844.71,0.29,599.74,96.36,Credit Card,Standard,Wholesale
ORD00065,2023-09-03,West,Home & Kitchen,Cookware,PROD2869,8,347.3,2778.4,0.29,1972.66,198.24,Credit Card,Express,Corporate
ORD00066,2023-11-19,North,Electronics,Tablet,PROD5066,1,160.21,160.21,0.24,121.76,29.2,Credit Card,Overnight,Corporate
ORD00067,2023-11-13,East,Books,Children,PROD8025,4,777.94,3111.76,0.11,2769.47,641.69,Bank Transfer,Overnight,Wholesale
ORD00068,2023-02-20,South,Electronics,Tablet,PROD3847,4,629.26,2517.04,0.08,2315.68,153.38,Credit Card,Standard,Retail
ORD00069,2023-12-19,East,Toys,Doll,PROD8438,10,475.21,4752.1,0.01,4704.58,506.31,Credit Card,Overnight,Retail
ORD00070,2023-10-29,East,Home & Kitchen,Vacuum Cleaner,PROD3330,4,430.89,1723.56,0.16,1447.79,259.92,Credit Card,Standard,Retail
ORD00071,2023-10-19,West,Home & Kitchen,Vacuum Cleaner,PROD5460,5,444.76,2223.8,0.14,1912.47,211.94,Cash,Express,Retail
ORD00072,2023-08-10,Central,Books,Fiction,PROD1339,6,607.68,3646.08,0.01,3609.62,345.75,Bank Transfer,Overnight,Retail
ORD00073,2023-09-23,West,Apparel,Jeans,PROD2494,8,916.91,7335.28,0.05,6968.52,1164.2,Cash,Express,Corporate
ORD00074,2023-12-10,East,Home & Kitchen,Cookware,PROD7561,2,859.16,1718.32,0.1,1546.49,291.88,Credit Card,Express,Retail
ORD00075,2023-06-15,North,Home & Kitchen,Cookware,PROD9889,2,970.48,1940.96,0.12,1708.04,261.19,Cash,Express,Retail
ORD00076,2023-07-05,South,Apparel,Jacket,PROD5375,10,758.88,7588.8,0.19,6146.93,1241.67,PayPal,Express,Corporate
ORD00077,2023-01-15,North,Toys,Board Game,PROD7684,10,801.32,8013.2,0.21,6330.43,709.96,Credit Card,Standard,Retail
ORD00078,2023-11-28,East,Toys,Board Game,PROD7807,3,503.39,1510.17,0.21,1193.03,181.07,Cash,Express,Retail
ORD00079,2023-03-16,South,Toys,Puzzle,PROD2143,7,198.7,1390.9,0.18,1140.54,227.26,Bank Transfer,Express,Corporate
ORD00080,2023-01-02,West,Books,Non-Fiction,PROD3434,5,728.79,3643.95,0.25,2732.96,453.63,Cash,Overnight,Corporate
ORD00081,2023-10-10,South,Home & Kitchen,Cookware,PROD7274,9,383.44,3450.96,0.28,2484.69,556.37,PayPal,Express,Retail
ORD00082,2023-08-31,South,Home & Kitchen,Vacuum Cleaner,PROD9115,7,392.22,2745.54,0.2,2196.43,470.36,Credit Card,Standard,Wholesale
ORD00083,2023-02-21,South,Books,Non-Fiction,PROD7717,8,108.71,869.68,0.27,634.87,33.69,PayPal,Standard,Corporate
ORD00084,2023-11-16,Central,Home & Kitchen,Cookware,PROD7226,7,653.34,4573.38,0.26,3384.3,746.13,Bank Transfer,Overnight,Wholesale
ORD00085,2023-01-19,South,Toys,Puzzle,PROD2480,10,77.74,777.4,0.19,629.69,147.46,Cash,Standard,Wholesale
ORD00086,2023-03-27,East,Electronics,Laptop,PROD6873,5,904.39,4521.95,0.01,4476.73,936.66,Bank Transfer,Express,Retail
ORD00087,2023-07-30,Central,Apparel,Jacket,PROD7267,10,684.98,6849.8,0.05,6507.31,553.21,PayPal,Express,Wholesale
ORD00088,2023-08-25,West,Apparel,T-shirt,PROD5712,5,464.97,2324.85,0.2,1859.88,427.37,PayPal,Standard,Corporate
ORD00089,2023-06-03,West,Home & Kitchen,Vacuum Cleaner,PROD8916,7,693.41,4853.87,0.14,4174.33,460.95,Credit Card,Standard,Corporate
ORD00090,2023-10-22,West,Books,Non-Fiction,PROD5497,5,992.77,4963.85,0.09,4517.1,1109.35,Credit Card,Overnight,Wholesale
ORD00091,2023-09-12,South,Electronics,Tablet,PROD4115,5,777.98,3889.9,0.07,3617.61,761.1,Bank Transfer,Overnight,Wholesale
ORD00092,2023-02-19,South,Apparel,Jacket,PROD2476,1,315.84,315.84,0.13,274.78,45.59,Bank Transfer,Express,Wholesale
ORD00093,2023-04-13,Central,Toys,Board Game,PROD5465,3,788.65,2365.95,0.26,1750.8,215.65,PayPal,Express,Corporate
ORD00094,2023-06-23,South,Home & Kitchen,Vacuum Cleaner,PROD7511,2,473.65,947.3,0.02,928.35,186.44,Bank Transfer,Standard,Corporate
ORD00095,2023-10-02,Central,Electronics,Laptop,PROD7242,2,460.24,920.48,0.2,736.38,135.84,Bank Transfer,Standard,Wholesale
ORD00096,2023-01-13,South,Apparel,Jeans,PROD2035,10,885.39,8853.9,0.17,7348.74,1712.63,Cash,Overnight,Corporate
ORD00097,2023-03-13,North,Toys,Board Game,PROD4846,1,946.8,946.8,0.09,861.59,127.97,PayPal,Express,Corporate
ORD00098,2023-12-23,West,Home & Kitchen,Vacuum Cleaner,PROD2622,9,424.94,3824.46,0.22,2983.08,241.34,Cash,Overnight,Corporate
ORD00099,2023-12-20,East,Home & Kitchen,Blender,PROD2627,6,225.1,1350.6,0.13,1175.02,114.24,Bank Transfer,Overnight,Wholesale
ORD00100,2023-07-23,West,Home & Kitchen,Blender,PROD2501,5,197.91,989.55,0.04,949.97,208.62,PayPal,Overnight,Wholesale
ORD00101,2023-01-26,North,Books,Fiction,PROD4394,6,251.13,1506.78,0.04,1446.51,235.66,PayPal,Standard,Corporate
ORD00102,2023-01-02,East,Apparel,Jacket,PROD3858,5,859.82,4299.1,0.04,4127.14,313.66,Credit Card,Overnight,Retail
ORD00103,2023-07-03,South,Apparel,T-shirt,PROD7897,4,592.96,2371.84,0.0,2371.84,244.47,Credit Card,Overnight,Retail
ORD00104,2023-07-05,Central,Toys,Doll,PROD1710,9,597.73,5379.57,0.14,4626.43,436.32,Bank Transfer,Express,Wholesale
ORD00105,2023-09-03,West,Electronics,Smartphone,PROD2204,7,432.01,3024.07,0.03,2933.35,564.61,Credit Card,Express,Wholesale
ORD00106,2023-03-06,West,Apparel,T-shirt,PROD9692,5,628.07,3140.35,0.18,2575.09,495.53,Bank Transfer,Express,Wholesale
ORD00107,2023-02-20,South,Books,Non-Fiction,PROD8046,2,854.26,1708.52,0.2,1366.82,278.55,Cash,Standard,Corporate
ORD00108,2023-07-24,East,Home & Kitchen,Cookware,PROD7132,7,732.32,5126.24,0.09,4664.88,524.82,PayPal,Overnight,Corporate
ORD00109,2023-02-13,South,Electronics,Smartphone,PROD1982,2,437.56,875.12,0.22,682.59,85.0,Bank Transfer,Overnight,Retail
ORD00110,2023-12-07,Central,Toys,Doll,PROD6119,7,869.41,6085.87,0.22,4746.98,1156.74,Bank Transfer,Standard,Wholesale
ORD00111,2023-03-21,East,Books,Fiction,PROD2882,8,232.0,1856.0,0.03,1800.32,394.4,Bank Transfer,Overnight,Retail
ORD00112,2023-11-15,East,Toys,Puzzle,PROD1474,10,678.23,6782.3,0.17,5629.31,967.11,PayPal,Express,Wholesale
ORD00113,2023-06-29,North,Home & Kitchen,Cookware,PROD3324,1,189.59,189.59,0.04,182.01,33.03,Credit Card,Standard,Wholesale
ORD00114,2023-07-12,East,Books,Fiction,PROD2391,7,459.11,3213.77,0.05,3053.08,342.94,Credit Card,Standard,Retail
ORD00115,2023-12-12,West,Books,Fiction,PROD7785,2,279.38,558.76,0.2,447.01,65.77,Bank Transfer,Standard,Wholesale
ORD00116,2023-08-09,East,Electronics,Laptop,PROD1744,2,290.41,580.82,0.2,464.66,68.46,PayPal,Express,Wholesale
ORD00117,2023-04-15,East,Electronics,Smartphone,PROD6375,5,945.87,4729.35,0.23,3641.6,738.63,Credit Card,Standard,Corporate
ORD00118,2023-03-08,East,Toys,Board Game,PROD2180,7,537.26,3760.82,0.07,3497.56,565.71,Cash,Overnight,Retail
ORD00119,2023-08-24,West,Toys,Board Game,PROD5743,2,863.49,1726.98,0.17,1433.39,236.05,Credit Card,Express,Retail
ORD00120,2023-11-13,North,Home & Kitchen,Blender,PROD4986,8,833.71,6669.68,0.28,4802.17,324.75,Cash,Overnight,Corporate
ORD00121,2023-07-22,North,Books,Fiction,PROD9363,5,748.35,3741.75,0.07,3479.83,716.23,Credit Card,Overnight,Wholesale
ORD00122,2023-06-29,Central,Apparel,Jeans,PROD3504,3,243.91,731.73,0.04,702.46,62.84,Credit Card,Standard,Wholesale
ORD00123,2023-10-16,Central,Toys,Doll,PROD6295,10,454.42,4544.2,0.28,3271.82,532.97,Bank Transfer,Standard,Corporate
ORD00124,2023-08-15,North,Electronics,Laptop,PROD6085,5,798.37,3991.85,0.18,3273.32,394.07,Cash,Express,Retail
ORD00125,2023-05-27,Central,Electronics,Laptop,PROD9307,2,648.22,1296.44,0.29,920.47,62.65,Cash,Express,Wholesale
ORD00126,2023-01-22,Central,Books,Children,PROD8792,8,909.96,7279.68,0.17,6042.13,529.58,PayPal,Standard,Corporate
ORD00127,2023-02-13,West,Electronics,Laptop,PROD9586,9,649.67,5847.03,0.01,5788.56,1108.65,PayPal,Express,Corporate
ORD00128,2023-07-29,East,Home & Kitchen,Cookware,PROD2079,6,682.11,4092.66,0.02,4010.81,706.61,Bank Transfer,Standard,Wholesale
ORD00129,2023-05-10,South,Toys,Doll,PROD6731,10,874.55,8745.5,0.1,7870.95,1310.89,Bank Transfer,Overnight,Wholesale
ORD00130,2023-11-01,South,Toys,Board Game,PROD9624,2,316.49,632.98,0.11,563.35,117.36,Credit Card,Overnight,Wholesale
ORD00131,2023-07-05,West,Toys,Puzzle,PROD4145,1,368.97,368.97,0.05,350.52,32.54,PayPal,Standard,Retail
ORD00132,2023-02-21,North,Electronics,Laptop,PROD6517,9,773.17,6958.53,0.25,5218.9,1183.31,PayPal,Overnight,Corporate
ORD00133,2023-04-03,West,Apparel,T-shirt,PROD6968,10,810.95,8109.5,0.05,7704.02,1059.57,PayPal,Express,Wholesale
ORD00134,2023-08-18,West,Home & Kitchen,Vacuum Cleaner,PROD4178,4,538.67,2154.68,0.09,1960.76,415.14,Bank Transfer,Overnight,Wholesale
ORD00135,2023-05-25,South,Toys,Doll,PROD3267,7,507.88,3555.16,0.13,3092.99,254.9,Bank Transfer,Standard,Wholesale
ORD00136,2023-10-11,North,Toys,Doll,PROD3626,2,714.29,1428.58,0.15,1214.29,90.99,Bank Transfer,Express,Wholesale
ORD00137,2023-02-16,West,Apparel,Jeans,PROD1872,4,818.54,3274.16,0.27,2390.14,564.3,Cash,Overnight,Corporate
ORD00138,2023-02-11,East,Apparel,Jeans,PROD3392,6,232.29,1393.74,0.1,1254.37,87.58,PayPal,Standard,Corporate
ORD00139,2023-03-13,East,Toys,Puzzle,PROD4533,8,454.12,3632.96,0.0,3632.96,239.21,PayPal,Overnight,Wholesale
ORD00140,2023-08-05,South,Books,Children,PROD7878,2,778.41,1556.82,0.07,1447.84,107.68,Cash,Standard,Retail
ORD00141,2023-10-02,East,Toys,Puzzle,PROD8032,1,635.64,635.64,0.17,527.58,102.2,Credit Card,Overnight,Corporate
ORD00142,2023-08-02,North,Apparel,Jacket,PROD9618,3,667.73,2003.19,0.03,1943.09,475.92,Credit Card,Express,Corporate
ORD00143,2023-07-18,East,Electronics,Tablet,PROD4950,6,261.11,1566.66,0.0,1566.66,325.4,Credit Card,Overnight,Wholesale
ORD00144,2023-01-23,West,Home & Kitchen,Blender,PROD8840,6,550.55,3303.3,0.24,2510.51,213.44,PayPal,Standard,Retail
ORD00145,2023-05-31,East,Toys,Board Game,PROD9444,4,53.37,213.48,0.06,200.67,11.72,Cash,Overnight,Corporate
ORD00146,2023-11-28,East,Home & Kitchen,Blender,PROD5476,4,293.25,1173.0,0.26,868.02,51.7,Credit Card,Express,Corporate
ORD00147,2023-08-14,East,Toys,Puzzle,PROD9507,7,345.65,2419.55,0.06,2274.38,428.52,Bank Transfer,Standard,Wholesale
ORD00148,2023-08-09,North,Toys,Board Game,PROD2311,10,995.15,9951.5,0.05,9453.92,1028.14,Bank Transfer,Overnight,Corporate
ORD00149,2023-11-05,East,Home & Kitchen,Cookware,PROD8126,7,174.98,1224.86,0.13,1065.63,148.58,Bank Transfer,Overnight,Retail
ORD00150,2023-11-23,North,Electronics,Tablet,PROD3339,7,369.68,2587.76,0.24,1966.7,365.57,Cash,Standard,Retail
ORD00151,2023-11-27,South,Electronics,Smartphone,PROD8371,6,368.53,2211.18,0.28,1592.05,89.91,Bank Transfer,Express,Corporate
ORD00152,2023-03-12,North,Electronics,Tablet,PROD1424,9,373.28,3359.52,0.09,3057.16,323.26,PayPal,Express,Wholesale
ORD00153,2023-03-02,Central,Toys,Puzzle,PROD5678,5,777.21,3886.05,0.21,3069.98,285.24,Cash,Standard,Retail
ORD00154,2023-08-20,East,Apparel,T-shirt,PROD6692,3,899.69,2699.07,0.13,2348.19,158.64,Credit Card,Overnight,Wholesale
ORD00155,2023-03-22,South,Home & Kitchen,Cookware,PROD3275,3,795.76,2387.28,0.15,2029.19,150.71,PayPal,Express,Retail
ORD00156,2023-10-21,North,Home & Kitchen,Vacuum Cleaner,PROD2077,6,472.73,2836.38,0.29,2013.83,152.96,Bank Transfer,Express,Wholesale
ORD00157,2023-07-30,North,Toys,Puzzle,PROD8372,7,825.11,5775.77,0.02,5660.25,1383.79,Cash,Overnight,Wholesale
ORD00158,2023-10-10,North,Home & Kitchen,Blender,PROD3034,10,190.14,1901.4,0.29,1349.99,184.31,PayPal,Express,Retail
ORD00159,2023-12-30,North,Apparel,Jeans,PROD5105,4,352.56,1410.24,0.28,1015.37,232.5,PayPal,Overnight,Wholesale
ORD00160,2023-11-17,Central,Home & Kitchen,Blender,PROD3526,5,618.28,3091.4,0.03,2998.66,534.35,PayPal,Overnight,Wholesale
ORD00161,2023-10-16,Central,Books,Non-Fiction,PROD5336,1,826.98,826.98,0.01,818.71,48.38,PayPal,Overnight,Corporate
ORD00162,2023-01-16,East,Books,Children,PROD8912,8,890.11,7120.88,0.16,5981.54,1067.0,PayPal,Overnight,Corporate
ORD00163,2023-02-07,East,Home & Kitchen,Cookware,PROD3353,1,166.5,166.5,0.12,146.52,20.94,Bank Transfer,Overnight,Corporate
ORD00164,2023-03-08,North,Home & Kitchen,Cookware,PROD5382,6,519.83,3118.98,0.03,3025.41,297.54,Cash,Standard,Retail
ORD00165,2023-05-29,South,Electronics,Smartphone,PROD6364,7,865.52,6058.64,0.13,5271.02,1278.42,Bank Transfer,Standard,Retail
ORD00166,2023-08-28,West,Toys,Puzzle,PROD9281,8,880.28,7042.24,0.15,5985.9,407.1,Cash,Standard,Retail
ORD00167,2023-01-25,West,Books,Non-Fiction,PROD5681,1,288.54,288.54,0.18,236.6,51.71,Credit Card,Standard,Corporate
ORD00168,2023-07-07,South,Apparel,Jeans,PROD6939,7,372.28,2605.96,0.12,2293.24,376.22,Bank Transfer,Standard,Corporate
ORD00169,2023-10-09,South,Books,Non-Fiction,PROD2584,5,827.06,4135.3,0.19,3349.59,576.83,Cash,Express,Corporate
ORD00170,2023-03-15,North,Books,Non-Fiction,PROD3245,4,606.44,2425.76,0.12,2134.67,123.92,Bank Transfer,Express,Wholesale
ORD00171,2023-11-07,West,Toys,Board Game,PROD5902,9,148.38,1335.42,0.28,961.5,109.33,Bank Transfer,Overnight,Wholesale
ORD00172,2023-12-29,North,Books,Non-Fiction,PROD7824,10,306.79,3067.9,0.24,2331.6,288.35,Bank Transfer,Overnight,Wholesale
